cross_validation; iteration; train_size; num_stages; alpha; overage_cost; eoh_underage; method; radius; train_time; train_mean; train_std; train_valid; test_mean; test_std; test_valid
AV;0; 10; 5; 0.250000;0.040000;2.000000; AFF; 0.010000; 0.093247; 30.176685;-nan;1.000000; 45.977826;-nan;0.875200
AV;0; 10; 5; 0.250000;0.040000;2.000000; AFF; 0.100000; 0.098246; 30.221670;-nan;1.000000; 45.875782;-nan;0.875800
AV;0; 10; 5; 0.250000;0.040000;2.000000; AFF; 0.316200; 0.066676; 30.329713;-nan;1.000000; 45.633717;-nan;0.877900
AV;0; 10; 5; 0.250000;0.040000;2.000000; AFF; 1.000000; 0.088450; 30.671231;-nan;1.000000; 44.897920;-nan;0.885100
AV;0; 10; 5; 0.250000;0.040000;2.000000; AFF; 1.778300; 0.079108; 31.064492;-nan;1.000000; 43.873847;-nan;0.891600
AV;0; 10; 5; 0.250000;0.040000;2.000000; AFF; 3.162300; 0.067445; 31.783024;-nan;1.000000; 42.685899;-nan;0.901200
AV;0; 10; 5; 0.250000;0.040000;2.000000; AFF; 5.623400; 0.108402; 33.183663;-nan;1.000000; 41.011015;-nan;0.920600
AV;0; 10; 5; 0.250000;0.040000;2.000000; AFF; 10.000000; 0.081881; 35.692313;11120.198631;1.000000; 39.454183;-nan;0.946100
AV;0; 10; 5; 0.250000;0.040000;2.000000; AFF; 17.783000; 0.080134; 39.767341;8479.907706;1.000000; 39.445267;-nan;0.980900
AV;0; 10; 5; 0.250000;0.040000;2.000000; AFF; 31.623000; 0.073066; 46.940847;5518.149056;1.000000; 44.864937;457.526004;0.999900
AV;0; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 0.000000; 0.210254; 24.887246;997.543884;1.000000; 67.477587;-nan;0.769900
AV;0; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 0.001000; 0.910954; 24.888550;997.543483;1.000000; 65.725132;-nan;0.731100
AV;0; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 0.010000; 0.778317; 24.900272;997.223445;1.000000; 65.769138;-nan;0.731700
AV;0; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 0.100000; 0.857060; 25.030491;1550.455352;1.000000; 63.993760;-nan;0.738600
AV;0; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 0.316200; 0.758842; 25.328841;1719.543224;1.000000; 60.684307;-nan;0.747900
AV;0; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 1.000000; 0.731930; 26.020980;1508.716507;1.000000; 60.270862;-nan;0.757300
AV;0; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 1.778300; 0.696922; 27.106263;729.251123;1.000000; 53.348026;-nan;0.776100
AV;0; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 3.162300; 0.644238; 27.746107;699.480164;1.000000; 50.283062;-nan;0.806000
AV;0; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 5.623400; 0.796287; 28.223699;1009.568125;1.000000; 44.049862;-nan;0.828700
AV;0; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 10.000000; 0.853407; 29.220742;1681.640390;1.000000; 41.304144;-nan;0.856000
AV;0; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 17.783000; 1.153362; 34.264913;1709.969532;1.000000; 38.982652;-nan;0.922400
AV;0; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 31.623000; 1.755796; 42.332005;837.118630;1.000000; 42.136716;433.042847;0.988600
AV;1; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.000000; 0.021265; 29.541775;27.793884;1.000000; 51.430564;429.379660;0.889200
AV;1; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.001000; 0.092633; 29.542301;27.793884;1.000000; 51.429269;429.379679;0.889200
AV;1; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.010000; 0.079390; 29.547042;27.792085;1.000000; 51.417622;429.497548;0.889500
AV;1; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.100000; 0.084202; 29.594431;23.526581;1.000000; 51.301550;393.140451;0.890100
AV;1; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.316200; 0.079993; 29.708141;23.479779;1.000000; 51.024933;308.075021;0.892100
AV;1; 10; 5; 0.000000;0.040000;2.000000; AFF; 1.000000; 0.086353; 30.122937;18.102486;1.000000; 49.077451;-nan;0.903000
AV;1; 10; 5; 0.000000;0.040000;2.000000; AFF; 1.778300; 0.088355; 30.519993;18.292075;1.000000; 48.292703;-nan;0.909800
AV;1; 10; 5; 0.000000;0.040000;2.000000; AFF; 3.162300; 0.076957; 31.222097;18.689569;1.000000; 46.998223;276.803113;0.922700
AV;1; 10; 5; 0.000000;0.040000;2.000000; AFF; 5.623400; 0.113721; 32.020304;25.922963;1.000000; 40.094302;336.317671;0.962800
AV;1; 10; 5; 0.000000;0.040000;2.000000; AFF; 10.000000; 0.078536; 34.301447;103.286011;1.000000; 38.997895;-nan;0.983100
AV;1; 10; 5; 0.000000;0.040000;2.000000; AFF; 17.783000; 0.086760; 38.345643;319.581758;1.000000; 39.331999;-nan;0.998600
AV;1; 10; 5; 0.000000;0.040000;2.000000; AFF; 31.623000; 0.074496; 44.449095;574.666164;1.000000; 42.675543;83.659669;1.000000
AV;1; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 0.000000; 0.235971; 23.411137;-nan;1.000000; 150.450966;-nan;0.452100
AV;1; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 0.001000; 0.758208; 23.411836;-nan;1.000000; 95.430475;-nan;0.535300
AV;1; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 0.010000; 0.818264; 23.418130;-nan;1.000000; 95.365147;-nan;0.535700
AV;1; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 0.100000; 0.808524; 23.481553;-nan;1.000000; 93.088491;-nan;0.540800
AV;1; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 0.316200; 0.701330; 24.082357;-nan;1.000000; 88.822009;-nan;0.569900
AV;1; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 1.000000; 0.727629; 24.687080;-nan;1.000000; 77.190037;-nan;0.614800
AV;1; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 1.778300; 0.636896; 25.828238;1091.595484;1.000000; 73.571525;-nan;0.698400
AV;1; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 3.162300; 0.751415; 26.665937;57.955155;1.000000; 58.969452;-nan;0.780200
AV;1; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 5.623400; 0.744261; 28.357888;127.684376;1.000000; 49.520277;-nan;0.898400
AV;1; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 10.000000; 0.954983; 28.792823;33.405089;1.000000; 43.819140;-nan;0.905200
AV;1; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 17.783000; 1.107905; 30.625006;85.461687;1.000000; 34.763740;-nan;0.983700
AV;1; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 31.623000; 2.337198; 39.781684;13.364131;1.000000; 38.740297;-nan;1.000000
AV;0; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.000000; 0.021455; 28.240265;64.825921;1.000000; 36.082226;162.104594;0.915100
AV;0; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.001000; 0.101449; 28.241031;64.824378;1.000000; 36.081885;162.104620;0.915100
AV;0; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.010000; 0.083930; 28.247928;64.822064;1.000000; 36.078824;157.764169;0.915300
AV;0; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.100000; 0.077114; 28.316856;64.240953;1.000000; 36.048539;134.895290;0.916000
AV;0; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.316200; 0.099143; 28.482161;63.392429;1.000000; 35.979658;70.590068;0.917900
AV;0; 10; 5; 0.000000;0.040000;2.000000; AFF; 1.000000; 0.127435; 28.991480;48.116525;1.000000; 34.219123;347.541718;0.929200
AV;0; 10; 5; 0.000000;0.040000;2.000000; AFF; 1.778300; 0.091832; 29.530381;56.639209;1.000000; 34.195879;82.219392;0.937400
AV;0; 10; 5; 0.000000;0.040000;2.000000; AFF; 3.162300; 0.092107; 30.476315;36.642871;1.000000; 34.566025;-nan;0.951600
AV;0; 10; 5; 0.000000;0.040000;2.000000; AFF; 5.623400; 0.108535; 32.089453;44.444347;1.000000; 34.978490;443.168211;0.966700
AV;0; 10; 5; 0.000000;0.040000;2.000000; AFF; 10.000000; 0.079195; 34.148495;88.494068;1.000000; 37.088590;101.763591;0.967600
AV;0; 10; 5; 0.000000;0.040000;2.000000; AFF; 17.783000; 0.095591; 34.490053;21.847197;1.000000; 37.766605;-nan;0.968900
AV;0; 10; 5; 0.000000;0.040000;2.000000; AFF; 31.623000; 0.092999; 38.442005;22.154006;1.000000; 40.580813;-nan;1.000000
